job_title,predicted_match_percentage,skills_similarity,education_match,experience_closeness,job_Education,job_Experience
fresher,62.887359273009125,0.8710805177688599,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
delivery,62.66685784697109,0.8666704893112183,0,0.9666666666666667,High School Diploma,1.0
food runner,62.6534587226338,0.8664025068283081,0,0.9666666666666667,Associate's Degree in Culinary Arts,1.0
software trainee,62.545362717554255,0.8642405867576599,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
associate system engineer,61.965370772569386,0.8526407480239868,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
hostess,61.70778631625358,0.847489058971405,0,0.9666666666666667,Associate's Degree in Hospitality Management,1.0
general worker,61.53599678685543,0.8440532684326172,0,0.9666666666666667,High School Diploma,1.0
attendant,61.30011438201296,0.8393356204032898,0,0.9666666666666667,Associate's Degree in Hospitality Management,1.0
junior software engineer,61.28782092385208,0.8390897512435913,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
junior programmer,61.2616664053503,0.8385666608810425,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
work study,61.21605693051538,0.8376544713973999,0,0.9666666666666667,Bachelor's Degree,0.0
shop assistant,61.166993366466286,0.8366732001304626,0,0.9666666666666667,Bachelor's Degree in Business Administration,1.0
crew member,61.15474759202191,0.8364282846450806,0,0.9666666666666667,High School Diploma,0.0
busser,61.11227332154705,0.8355787992477417,0,0.9666666666666667,High School Diploma,0.0
office assistant,60.986227377436485,0.8330578804016113,0,0.9666666666666667,Bachelor's Degree in Business Administration,1.0
technical intern,60.98372994278465,0.8330079317092896,0,0.9666666666666667,Bachelor's Degree in Computer Engineering,0.0
sales associate,60.89485345568801,0.8312304019927979,0,0.9666666666666667,Bachelor's Degree in Business Administration,1.0
software developer internship,60.885584933292776,0.8310450315475464,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
assistant system engineer,60.84768829960218,0.8302870988845825,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
waiting staff,60.830450636086425,0.8299423456192017,0,0.9666666666666667,Associate's Degree in Hospitality Management,1.0
junior developer,60.82340238674085,0.8298013806343079,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
greeter,60.687831620258855,0.8270899653434753,0,0.9666666666666667,Associate's Degree in Hospitality Management,1.0
software engineer internship,60.671786049655665,0.8267690539360046,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
service assistant,60.6430774720887,0.8261948823928833,0,0.9666666666666667,Bachelor's Degree in Business Administration,1.0
worker,60.617331245409474,0.8256799578666687,0,0.9666666666666667,Associate's Degree in Occupational Studies,1.0
retail associate,60.59708652752175,0.8252750635147095,0,0.9666666666666667,Associate's Degree in Retail Management,1.0
host,60.55340996802889,0.8510681986808777,0,0.9,Bachelor's Degree in Communications,2.0
internee,60.5496531505306,0.8243263959884644,0,0.9666666666666667,Bachelor's Degree in Electrical Engineering,0.0
junior software developer,60.51565168043183,0.8236463665962219,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
software development intern,60.4849493274686,0.8230323195457458,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
software developer intern,60.41368899338745,0.8216071128845215,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
programmer analyst trainee,60.39260683022866,0.8211854696273804,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
student caller,60.39094386061562,0.8211522102355957,0,0.9666666666666667,Bachelor's Degree in Communications,1.0
student worker,60.385472154146925,0.8210427761077881,0,0.9666666666666667,Bachelor's Degree,0.0
work placement,60.295171116019766,0.8192367553710938,0,0.9666666666666667,Bachelor's Degree in Business Administration,0.0
computer lab assistant,60.292769048800935,0.8191887140274048,0,0.9666666666666667,Bachelor's Degree in Computer Science,1.0
food server,60.28746423534,0.8190826177597046,0,0.9666666666666667,Associate's Degree in Hospitality Management,1.0
data entry,60.26111302150765,0.8185555934906006,0,0.9666666666666667,Associate's Degree in Data Entry,1.0
floor staff,60.240376565293495,0.8181408643722534,0,0.9666666666666667,Associate's Degree in Hospitality Management,1.0
cashier,60.23835596780669,0.8181004524230957,0,0.9666666666666667,High School Diploma,1.0
assistant internship,60.21543798156253,0.817642092704773,0,0.9666666666666667,Bachelor's Degree in Marketing,1.0
seasonal sales associate,60.193840238219046,0.8172101378440857,0,0.9666666666666667,High School Diploma,1.0
bagger,60.17347035057551,0.8168027400970459,0,0.9666666666666667,High School Diploma,0.0
associate software engineer,60.13483759951141,0.8160300850868225,0,0.9666666666666667,Bachelor's Degree in Computer Science,0.0
team member,60.127859620332,0.8425571918487549,0,0.9,Associate's Degree in Business Administration,2.0
barista,60.12228784137433,0.8157790899276733,0,0.9666666666666667,Bachelor's Degree in Hospitality Management,1.0
seller,60.09324720261553,0.8418649435043335,0,0.9,Bachelor's Degree in Business Administration,2.0
intern,60.06259378877739,0.8145852088928223,0,0.9666666666666667,Bachelor's Degree in Marketing,0.0
porter,60.041961640693096,0.8141725659370422,0,0.9666666666666667,High School Diploma,1.0
internship,60.01062449825391,0.813545823097229,0,0.9666666666666667,Bachelor's Degree,0.0
software,59.99162002641036,0.8664990663528442,0,0.8333333333333334,Bachelor's Degree in Computer Science,3.0
desk assistant,59.9662488395835,0.8126583099365234,0,0.9666666666666667,Bachelor's Degree in Hospitality Management,1.0
master thesis student,59.94151589187996,0.8121636509895325,0,0.9666666666666667,Master's Degree in Engineering,0.0
student assistant,59.84301921497888,0.8101937174797058,0,0.9666666666666667,Bachelor's Degree in Business Administration,0.0
